EDL	Record In	Record Out	Clipname	Subtitle

https://chrt.fm/track/53A61E/pdst.fm/e/www.podtrac.com/pts/redirect.mp3/waaa.wnyc.org/radiolab_podcast/radiolab_podcast120222_ashes.mp3?awCollectionId=15957&awEpisodeId=1276180

A global pandemic. Thousands dying. A passive government. An afflicted group
fueled by grief and anger. In this episode, first aired in 2020, Reporter
Tracie Hunte wanted to understand this moment of pain and confusion. As she
looked back three decades, she found a complicated answer to a simple question:
when nothing seems to work, how do you make change?

Special thanks to Dr. Anthony Fauci.

Episode Credits:

Reported by Tracie HuntProduced by Matt Kielty

Our newsletter comes out every Wednesday. It includes short essays,
recommendations, and details about other ways to interact with the show. Sign
up (https://radiolab.org/newsletter)!

Radiolab is supported by listeners like you. Support Radiolab by becoming a
member of The Lab (https://members.radiolab.org/) today.

Follow our show on Instagram, Twitter and Facebook @radiolab, and share your
thoughts with us by emailing radiolab@wnyc.org

Leadership support for Radiolab’s science programming is provided by the Gordon
and Betty Moore Foundation, Science Sandbox, a Simons Foundation Initiative,
and the John Templeton Foundation. Foundational support for Radiolab was
provided by the Alfred P. Sloan Foundation.

EDL	00:00:00,000	00:00:01,360	| The Ashes on the Lawn |	I'm Katie Thornton. 
EDL	00:40:22,500	00:40:25,030	| The Ashes on the Lawn |	So Tony, I got bad news for you in a couple of months. 
EDL	00:40:25,030	00:40:29,780	| The Ashes on the Lawn |	We're going to descend on your campus with a massive demonstration to push these issues. 
EDL	00:40:29,780	00:40:31,150	| The Ashes on the Lawn |	And what do you say, wait a minute. 
EDL	00:40:31,150	00:40:32,290	| The Ashes on the Lawn |	[ SPACE 1.1 secs ]
EDL	00:40:32,290	00:40:38,590	| The Ashes on the Lawn |	We're we're sitting here having dinner and sharing a glass of Pino grigio and you're going to storm the NIH. 
EDL	00:40:38,590	00:40:40,750	| The Ashes on the Lawn |	What are you talking about, he tried to talk us out of it. 
EDL	00:40:40,750	00:40:41,360	| The Ashes on the Lawn |	No, I did. 
EDL	00:40:41,360	00:40:41,910	| The Ashes on the Lawn |	You know, I said,
EDL	00:40:41,910	00:40:48,037	| The Ashes on the Lawn |	Peter, are are you sure that this is going to be a productive thing at play that he needed a little more time. 
EDL	00:40:48,037	00:40:52,396	| The Ashes on the Lawn |	And and we said, well, you got a couple months and I said, okay, fine. 
EDL	00:40:52,396	00:40:53,101	| The Ashes on the Lawn |	Thanks an awful lot 

EDL	00:40:53,101	00:40:59,950	| The Ashes on the Lawn |	a couple of months later, thousand people show up to his door with his head on a spike. 
EDL	00:40:59,950	00:41:00,790	| The Ashes on the Lawn |	[ SPACE 0.8 secs ]
EDL	00:41:00,790	00:41:01,820	| The Ashes on the Lawn |	Yeah well, what happened? 
EDL	00:41:01,820	00:41:05,290	| The Ashes on the Lawn |	What did happen with it was the tons of did the media pick it up. 
EDL	00:41:05,290	00:41:10,425	| The Ashes on the Lawn |	There was a lot of media attention and thanks to Peter's colored smoke bombs, 
EDL	00:41:10,425	00:41:13,460	| The Ashes on the Lawn |	it actually did make the front page of a couple of newspapers. 
EDL	00:41:13,460	00:41:14,010	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:41:14,010	00:41:18,090	| The Ashes on the Lawn |	A lot of the media attention was not sympathetic. 
EDL	00:41:18,090	00:41:22,990	| The Ashes on the Lawn |	It was just like look at these pathetic look at these crazies who showed up at the NIH. 
EDL	00:41:22,990	00:41:31,717	| The Ashes on the Lawn |	Okay, but the thing that makes this protest different from the ashes action or even the quilt is that they were 
EDL	00:41:31,717	00:41:37,120	| The Ashes on the Lawn |	saying [beep] you to somebody who was actually sympathetic to them 
EDL	00:41:37,120	00:41:43,770	| The Ashes on the Lawn |	that demonstration was more about putting him between a rock and a hard place. 
EDL	00:41:43,770	00:41:49,280	| The Ashes on the Lawn |	We were the rock and the hard place was the executive committee of the ACTG. 

EDL	00:41:49,280	00:42:00,000	| The Ashes on the Lawn |	This was about giving Fauci a very public boot in the ass we wanted to politically difficult for them to ignore him and us. 
EDL	00:42:00,000	00:42:09,017	| The Ashes on the Lawn |	And so he got squeezed by ACT UP and that squeezed was apparently exactly what he needed because he did kind of what we were hoping he do. 
EDL	00:42:09,017	00:42:17,440	| The Ashes on the Lawn |	He pushed the ACTG. harder and within a few months of that demonstration the ACTG executive committee caved. 
EDL	00:42:17,440	00:42:23,420	| The Ashes on the Lawn |	They got pretty much everything they wanted true like on that list. 
EDL	00:42:23,420	00:42:31,070	| The Ashes on the Lawn |	They got it all yeah ACTG team decided to open up all of their committee activists and other people with AIDS were added to the panels. 
EDL	00:42:31,070	00:42:33,380	| The Ashes on the Lawn |	We got voting membership on the executive committee. 
EDL	00:42:33,380	00:42:38,120	| The Ashes on the Lawn |	They did diversify the people that they were testing. 
EDL	00:42:38,120	00:42:46,587	| The Ashes on the Lawn |	They did begin to start testing drugs that were in AZT and we started to reformat and refocus the clinical trials 
EDL	00:42:46,587	00:42:49,850	| The Ashes on the Lawn |	and the conducting of clinical trials towards HIV AIDS. 
EDL	00:42:49,850	00:42:51,120	| The Ashes on the Lawn |	They got they got what they needed. 
EDL	00:42:51,120	00:42:51,830	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:42:51,830	00:42:56,880	| The Ashes on the Lawn |	Wow, yeah, that is so not a story I feel like you ever hear. 

EDL	00:42:56,880	00:43:11,889	| The Ashes on the Lawn |	Yeah, but to be clear, the storm be an NIH action happens in 1990s it wasn't until 1996 that they actually had the drug cocktail 
EDL	00:43:11,889	00:43:16,064	| The Ashes on the Lawn |	that was giving people living with AIDS a much longer life 
EDL	00:43:16,064	00:43:26,112	| The Ashes on the Lawn |	and so it was actually after the storm DNA age action that Larry Kramer was giving these angry speeches about how desperate the situation was 
EDL	00:43:26,112	00:43:31,420	| The Ashes on the Lawn |	and David and Alexis thrown their loved ones ashes on the White House lawn. 
EDL	00:43:31,420	00:43:32,050	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:43:32,050	00:43:37,254	| The Ashes on the Lawn |	But that happened after storm the NIH and yeah, you know 
EDL	00:43:37,254	00:43:43,369	| The Ashes on the Lawn |	you can certainly point to the ashes action and other political funerals 
EDL	00:43:43,369	00:43:50,930	| The Ashes on the Lawn |	that ACT UP did during that time period as, like, you know, not being as effective as storm the NIH, 
EDL	00:43:50,930	00:43:58,990	| The Ashes on the Lawn |	but when the situation is so dire and things are so dark and people are so desperate 

EDL	00:43:58,990	00:44:04,111	| The Ashes on the Lawn |	maybe that moment called for a different kind of demonstration 

* Alexandra

EDL	00:44:04,111	00:44:08,960	| The Ashes on the Lawn |	that is exactly right and this is me as a media scholar talking rather radical one. 
EDL	00:44:08,960	00:44:15,060	| The Ashes on the Lawn |	This is Alexandra Youhas has she is a professor of film at Brooklyn College and she remembers in ACT UP. 
EDL	00:44:15,060	00:44:19,650	| The Ashes on the Lawn |	I don't know that you're media maker. 
EDL	00:44:19,650	00:44:21,650	| The Ashes on the Lawn |	[ SPACE 2.0 secs ]
EDL	00:44:21,650	00:44:24,640	| The Ashes on the Lawn |	One goal is to quote unquote change someone's mind. 
EDL	00:44:24,640	00:44:31,640	| The Ashes on the Lawn |	Yeah, okay, that's a real goal and you make certain kind of work to quote unquote change somebody's mind. 
EDL	00:44:31,640	00:44:32,000	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:44:32,000	00:44:35,320	| The Ashes on the Lawn |	There was an organization at this time that I knew called AIDS films, 
EDL	00:44:35,320	00:44:40,502	| The Ashes on the Lawn |	and they made a number of short narratives, highly polished films, 
EDL	00:44:40,502	00:44:46,780	| The Ashes on the Lawn |	and those were definitely changed mind kind of films 'cause they were they were feel good. 
EDL	00:44:46,780	00:44:47,390	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:44:47,390	00:44:51,766	| The Ashes on the Lawn |	They looked familiar now that's a reasonable goal, 
EDL	00:44:51,766	00:44:59,090	| The Ashes on the Lawn |	but I'm not sure that stop the church or the ashes action or political funerals. 
EDL	00:44:59,090	00:45:01,170	| The Ashes on the Lawn |	The goal is to change someone's mind. 
EDL	00:45:01,170	00:45:01,490	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:45:01,490	00:45:05,070	| The Ashes on the Lawn |	The goal is to express your anger. 
EDL	00:45:05,070	00:45:07,740	| The Ashes on the Lawn |	The goal is to express your desperation. 
EDL	00:45:07,740	00:45:11,620	| The Ashes on the Lawn |	The goal is to say no, the goal is to say this is wrong. 
EDL	00:45:11,620	00:45:12,490	| The Ashes on the Lawn |	[ SPACE 0.9 secs ]
EDL	00:45:12,490	00:45:19,980	| The Ashes on the Lawn |	Those actions by ACT UP were to express defiance and to put defiance on the map. 
EDL	00:45:19,980	00:45:20,410	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:45:20,410	00:45:26,800	| The Ashes on the Lawn |	You know she was like protest is about like making sure that this thing is never going to go away 
EDL	00:45:26,800	00:45:34,013	| The Ashes on the Lawn |	and I kind of had like a moment like that cause I was talking on the phone with a friend 
EDL	00:45:34,013	00:45:42,080	| The Ashes on the Lawn |	and all of a sudden I was I heard outside my window say his name George Floyd and part of me was like, again?
EDL	00:45:42,080	00:45:45,860	| The Ashes on the Lawn |	Really did you really for a second. 
EDL	00:45:45,860	00:45:52,278	| The Ashes on the Lawn |	Yes, I should say that where I live like they were protests almost every day during the summer 
EDL	00:45:52,278	00:45:56,331	| The Ashes on the Lawn |	and so I had actually gone a few months without hearing any 
EDL	00:45:56,331	00:46:03,290	| The Ashes on the Lawn |	and then it was happening outside my window and and I did have that reaction and then I was like, wait. 
EDL	00:46:03,290	00:46:07,079	| The Ashes on the Lawn |	What am I annoyed with, what am I really annoyed with 
EDL	00:46:07,079	00:46:10,963	| The Ashes on the Lawn |	and I realized like what I'm really annoyed with is the fact that 
EDL	00:46:10,963	00:46:17,140	| The Ashes on the Lawn |	another black man was killed in Philadelphia and that's why the protest was happening again. 
EDL	00:46:17,140	00:46:17,970	| The Ashes on the Lawn |	[ SPACE 0.8 secs ]
EDL	00:46:17,970	00:46:23,850	| The Ashes on the Lawn |	And I also realize that you know it was a reminder. 
EDL	00:46:23,850	00:46:27,000	| The Ashes on the Lawn |	[ SPACE 3.2 secs ]
EDL	00:46:27,000	00:46:29,660	| The Ashes on the Lawn |	You know, we're not done. 
EDL	00:46:29,660	00:46:52,490	| The Ashes on the Lawn |	[ SPACE 22.8 secs ]
EDL	00:46:52,490	00:46:57,139	| The Ashes on the Lawn |	And David and Alexis and all the other people involved in ACT UP 
EDL	00:46:57,139	00:47:01,431	| The Ashes on the Lawn |	every week it was like another action and it was another funeral 
EDL	00:47:01,431	00:47:08,980	| The Ashes on the Lawn |	and then there was like another action kept going and going and going, and there hadn't been really any moment to just stop and assess while the trauma they have gone through. 
EDL	00:47:08,980	00:47:21,190	| The Ashes on the Lawn |	[ SPACE 12.2 secs ]
EDL	00:47:21,190	00:47:26,220	| The Ashes on the Lawn |	But and after they made it through the mountain police to the fence and. 
EDL	00:47:26,220	00:47:32,210	| The Ashes on the Lawn |	[ SPACE 6.0 secs ]
EDL	00:47:32,210	00:47:38,870	| The Ashes on the Lawn |	Let go of those ashes this incredible release of energy out into the universe. 
EDL	00:47:38,870	00:47:39,700	| The Ashes on the Lawn |	[ SPACE 0.8 secs ]
EDL	00:47:39,700	00:47:41,500	| The Ashes on the Lawn |	They say there was this moment. 
EDL	00:47:41,500	00:47:46,960	| The Ashes on the Lawn |	[ SPACE 5.5 secs ]
EDL	00:47:46,960	00:47:49,750	| The Ashes on the Lawn |	A magnitude of what had just happened hit me. 
EDL	00:47:49,750	00:47:50,620	| The Ashes on the Lawn |	[ SPACE 0.9 secs ]
EDL	00:47:50,620	00:47:53,160	| The Ashes on the Lawn |	I just began to to sob convulsively. 
EDL	00:47:53,160	00:48:02,010	| The Ashes on the Lawn |	[ SPACE 8.9 secs ]
EDL	00:48:02,010	00:48:10,020	| The Ashes on the Lawn |	One of ACT UP slogans had been turn your grief into rage Larry Kramer was very fond of saying that. 
EDL	00:48:10,020	00:48:11,820	| The Ashes on the Lawn |	[ SPACE 1.8 secs ]
EDL	00:48:11,820	00:48:17,800	| The Ashes on the Lawn |	But to really experience our green. 
EDL	00:48:17,800	00:48:46,990	| The Ashes on the Lawn |	[ SPACE 29.2 secs ]
EDL	00:48:46,990	00:48:55,820	| The Ashes on the Lawn |	Like if Warren I 100% knew then and know now he would have approved, you know. 
EDL	00:48:55,820	00:49:00,250	| The Ashes on the Lawn |	Been proud, mm. 
EDL	00:49:00,250	00:49:12,260	| The Ashes on the Lawn |	[ SPACE 12.0 secs ]
EDL	00:49:12,260	00:49:14,670	| The Ashes on the Lawn |	This was my friend Kevin Michael kick. 
EDL	00:49:14,670	00:49:20,700	| The Ashes on the Lawn |	He was 28 years old and he died on Halloween 1991, 
EDL	00:49:20,700	00:49:27,615	| The Ashes on the Lawn |	the main reason out of my own ashes I'm going to die of AIDS in probably two years 
EDL	00:49:27,615	00:49:29,674	| The Ashes on the Lawn |	and that is why I'm here . 
EDL	00:49:29,674	00:49:37,530	| The Ashes on the Lawn |	I'm here on behalf of my father, Ellen Danzig, who died when he was 57 years old, I really needed this. 
EDL	00:49:37,530	00:49:40,540	| The Ashes on the Lawn |	[ SPACE 3.0 secs ]
EDL	00:49:40,540	00:49:45,480	| The Ashes on the Lawn |	My name is Eric Sawyer, and I scattered the ashes of Larry Kurt. 
EDL	00:49:45,480	00:49:45,950	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:49:45,950	00:49:48,360	| The Ashes on the Lawn |	Larry Kirk was 60 years old. 
EDL	00:49:48,360	00:49:54,147	| The Ashes on the Lawn |	He was the original Tony in West Side Story on Broadway in 1957 
EDL	00:49:54,147	00:49:59,770	| The Ashes on the Lawn |	Larry was to have his last professional ah performance at the White House. 
EDL	00:49:59,770	00:50:05,310	| The Ashes on the Lawn |	He was invited to a party to sing with Carol Lawrence they were going to sing somewhere. 
EDL	00:50:05,310	00:50:14,850	| The Ashes on the Lawn |	there's a place for us. and he planned to come out as a person with AIDS and when the white House Administration found out he was going to do that. 
EDL	00:50:14,850	00:50:18,860	| The Ashes on the Lawn |	They conveniently lost his music just before he was to go on. 
EDL	00:50:18,860	00:50:20,150	| The Ashes on the Lawn |	[ SPACE 1.3 secs ]
EDL	00:50:20,150	00:50:28,576	| The Ashes on the Lawn |	I came to scatter the ashes of my lover Michael tad hippler truth to tell I had scattered all of his ashes that I had, 
EDL	00:50:28,576	00:50:33,052	| The Ashes on the Lawn |	but I was sitting at breakfast with his sister and I told her about this demonstration 
EDL	00:50:33,052	00:50:36,450	| The Ashes on the Lawn |	her eyes lit up and she said, hey, do you want some ashes?
EDL	00:50:36,450	00:50:40,770	| The Ashes on the Lawn |	[ SPACE 4.3 secs ]
EDL	00:50:40,770	00:50:41,430	| The Ashes on the Lawn |	So I love you. 
EDL	00:50:41,430	00:50:43,750	| The Ashes on the Lawn |	Mike, and you would've wanted to be where you. 
EDL	00:50:43,750	00:50:55,940	| The Ashes on the Lawn |	[ SPACE 12.2 secs ]

EDL	00:50:55,940	00:50:57,050	| The Ashes on the Lawn |	You're welcome, Lulu. 
EDL	00:50:57,050	00:51:06,450	| The Ashes on the Lawn |	But before we go, can I just like tell you about one more protest, okay, okay, so ACT UP. 
EDL	00:51:06,450	00:51:13,320	| The Ashes on the Lawn |	You know they used to do this thing where they would identify people that they felt were responsible or had power to actually change things. 
EDL	00:51:13,320	00:51:14,020	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:51:14,020	00:51:20,911	| The Ashes on the Lawn |	And if those people you know weren't going to like listen to them or you know have a dinner with them like Dr. Fauci did 

EDL	00:51:20,911	00:51:27,740	| The Ashes on the Lawn |	ACT UP with identify those people and then and then target those individuals for an example of that. 
EDL	00:51:27,740	00:51:34,740	| The Ashes on the Lawn |	Tell me the story about the time that Jesse Helms do you remember Jesse Helms the homosexual gay crap. 
EDL	00:51:34,740	00:51:44,185	| The Ashes on the Lawn |	Oh yeah, well, they were like me and I will like Senator Jesse helm and and an enemy number one his hard-line conservative views earned him election to the Senate 5. 
EDL	00:51:44,185	00:51:52,400	| The Ashes on the Lawn |	And he has this rule that said that if you had AIDS you couldn't come to the United States for a really long time and he successfully passed that wow. 
EDL	00:51:52,400	00:51:54,900	| The Ashes on the Lawn |	It was a roof until the Obama administration man. 
EDL	00:51:54,900	00:51:58,766	| The Ashes on the Lawn |	Okay, he also was behind banning immigration from Haiti 
EDL	00:51:58,766	00:52:04,260	| The Ashes on the Lawn |	because a lot of people people from Haiti had AIDS he also tied the hands of the CDC. 
EDL	00:52:04,260	00:52:11,493	| The Ashes on the Lawn |	Saying that they basically couldn't provide grants for HIV prevention that mentioned gay men 

EDL	00:52:11,493	00:52:18,932	| The Ashes on the Lawn |	those of us who feel that there is a spiritual and moral aspect to this it was hitting us harder than anyone, 
EDL	00:52:18,932	00:52:25,350	| The Ashes on the Lawn |	and CDC couldn't target prevention messages to us at the height of the epidemic. 

EDL	00:52:25,350	00:52:33,720	| The Ashes on the Lawn |	It was just evil, evil evil stuff and so adds up decided to mess with him. 
EDL	00:52:33,720	00:52:34,370	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:52:34,370	00:52:41,140	| The Ashes on the Lawn |	I had had enough and decided to make it personal and take it right to his house and we put a gigantic condom. 
EDL	00:52:41,140	00:52:41,550	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:52:41,550	00:52:44,810	| The Ashes on the Lawn |	They put a condom on his house. 
EDL	00:52:44,810	00:52:46,830	| The Ashes on the Lawn |	[ SPACE 2.0 secs ]
EDL	00:52:46,830	00:52:51,681	| The Ashes on the Lawn |	Wait over the house like over like stretched over the stretched over the house, 
EDL	00:52:51,681	00:52:55,210	| The Ashes on the Lawn |	see how do you put the jacket YouTube it and you'll see it's on YouTube. 
EDL	00:52:55,210	00:52:55,550	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:52:55,550	00:52:57,240	| The Ashes on the Lawn |	Wait, I'm going to look at the right now. 
EDL	00:52:57,240	00:52:57,960	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:52:57,960	00:53:03,570	| The Ashes on the Lawn |	I encourage you after this to just Google like Acta Jessie Helm's condom. 
EDL	00:53:03,570	00:53:08,970	| The Ashes on the Lawn |	I don't know if I have the restraint to wait active and fro a demonstration by oh, my goodness. 
EDL	00:53:08,970	00:53:09,640	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:53:09,640	00:53:15,450	| The Ashes on the Lawn |	ACT UP this morning something most incredible your honour's Ruth yes. 
EDL	00:53:15,450	00:53:25,510	| The Ashes on the Lawn |	They unthrilled a giant political message for Senator Jesse Helm, oh my goodness, a 15 ft giant condom which engulfed his Washington DC home. 
EDL	00:53:25,510	00:53:31,450	| The Ashes on the Lawn |	So we've got a big ... giant condom like with a with a with a with a tip. 
EDL	00:53:31,450	00:53:35,470	| The Ashes on the Lawn |	It has a tip and everything a reservoir tip. 
EDL	00:53:35,470	00:53:35,800	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:53:35,800	00:53:41,490	| The Ashes on the Lawn |	Yes, yes, as we all learned in sex ed you have to like pull the tip a little .. and then roll it down. 
EDL	00:53:41,490	00:53:46,950	| The Ashes on the Lawn |	Yeah, okay, a condom to stop unsafe politics. 
EDL	00:53:46,950	00:53:47,260	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:53:47,260	00:53:55,900	| The Ashes on the Lawn |	Helms is deadlier than a parent, at least recalled to the scene that they didn't arrest you mess with us and you're going to wake up one morning with a condom on your house. 
EDL	00:53:55,900	00:54:00,000	| The Ashes on the Lawn |	Yes, and I was like, okay, what does that do? 
EDL	00:54:00,000	00:54:00,234	| The Ashes on the Lawn |	I. 
EDL	00:54:00,234	00:54:06,556	| The Ashes on the Lawn |	I you know and and and Peter Sally was like you get the larger public to laugh at the politician. 

EDL	00:54:06,556	00:54:11,350	| The Ashes on the Lawn |	The chair recognizes Senator Helm, it diminishes their power make through. 
EDL	00:54:11,350	00:54:21,084	| The Ashes on the Lawn |	But you clammed up on my house in Arlington and hosted about a 35 ft canvas condom one day in protest of me, 
EDL	00:54:21,084	00:54:24,840	| The Ashes on the Lawn |	he railed against us on the floor of the Senate March into streets. 
EDL	00:54:24,840	00:54:29,060	| The Ashes on the Lawn |	And they defy you to say anything about it. 
EDL	00:54:29,060	00:54:37,280	| The Ashes on the Lawn |	I wish they'd shut their mouths, go to work and keep their private matters to themselves and get their mentality out of their crutches. 
EDL	00:54:37,280	00:54:39,290	| The Ashes on the Lawn |	A leading Democrats stood up in said. 
EDL	00:54:39,290	00:54:42,890	| The Ashes on the Lawn |	Oh, you know when we started this colloquy, I thought I was on your side. 
EDL	00:54:42,890	00:54:50,050	| The Ashes on the Lawn |	Particularly on the First Amendment, these activists have a right to have their own First Amendment rights and the First Amendment people don't have to shut their mouths. 
EDL	00:54:50,050	00:54:53,270	| The Ashes on the Lawn |	They have a right to speak , ... well. 
EDL	00:54:53,270	00:54:53,900	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:54:53,900	00:54:59,840	| The Ashes on the Lawn |	They could speak just so long as they don't offend anybody else. 
EDL	00:54:59,840	00:55:11,750	| The Ashes on the Lawn |	So I suppose, well, that's not ... you got immediate pushback and after that he never got another anti-aids Helms amendment approved by the Senate after that. 
EDL	00:55:11,750	00:55:17,000	| The Ashes on the Lawn |	[ SPACE 5.2 secs ]

* ENDING

EDL	00:55:17,000	00:55:28,420	| The Ashes on the Lawn |	Reporter Tracy hunt this episode was produced by Tobin low and Annie McCune special thanks to Elsa honest son joy episode Deborah Levine. 
EDL	00:55:28,420	00:55:51,000	| The Ashes on the Lawn |	Theodore Kerr, Ben McLaughlin and Catherine gunned at diva TV for the use of the NIH protest footage Diane KELLY for fact checking and Catherine fall for additional archival research radio lab was created by Jad aberrant and is edited by Soren Wheeler, Lulu Miller and Latif Nasser are our co-host. 
EDL	00:55:51,000	00:55:53,270	| The Ashes on the Lawn |	Susie luckenbaugh is our executive producer. 
EDL	00:55:53,270	00:55:53,940	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:55:53,940	00:55:56,360	| The Ashes on the Lawn |	Vivian Keith is our director of sound design. 
EDL	00:55:56,360	00:55:56,870	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:55:56,870	00:56:02,576	| The Ashes on the Lawn |	Our staff includes Simon Adler, Jeremy Blue, back of wrestler Rachel Cusick. 
EDL	00:56:02,576	00:56:11,735	| The Ashes on the Lawn |	A. kaidi, foster key W Harry Fortuna, David Gabo, Maria Paku tierras sindu, nira sambandan, Mac Hilty, Annie mckewen. 
EDL	00:56:11,735	00:56:18,420	| The Ashes on the Lawn |	Alex Mason, Sarah anonymous wet bass, Sarah sandbag, Ariane Wat, pat Walters and Molly Webster. 
EDL	00:56:18,420	00:56:18,880	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:56:18,880	00:56:24,400	| The Ashes on the Lawn |	With help from Andrew vigilance, our fact-checkers are Diane KELLY, Emily Krieger and Natalie Middleton. 
EDL	00:56:24,400	00:56:28,190	| The Ashes on the Lawn |	[ SPACE 3.8 secs ]
EDL	00:56:31,440	00:56:49,010	| The Ashes on the Lawn |	hi, my name is Michael smitham calling from Pennington, New Jersey leadership support for radiolab science programming is provided by the Gordon and Betty Moore foundation, so science sandbox, a Simons foundation initiative, and the John Templeton foundation conditional support for radio lab was provided by the Alfred P Sloan foundation. 
